2013-07-01,09:30:00.120,AAPL,93.12027,99600,E
2013-07-01,09:30:00.278,BAC,1.243779,83500,Z
2013-07-01,09:30:00.516,IBM,58.24376,19100,A
2013-07-01,09:30:00.656,AAPL,10.09474,9300,Z
2013-07-01,09:30:00.796,IBM,43.74412,28500,A
2013-07-01,09:30:00.966,AAPL,43.88911,42900,E
2013-07-01,09:30:15.086,UPS,81.73927,46100,Z
2013-07-01,09:30:15.119,MSFT,86.27263,20900,C
2013-07-01,09:30:15.826,MSFT,75.42797,73900,Z
2013-07-01,09:30:30.330,IBM,33.90899,82400,E
2013-07-01,09:30:30.495,AAPL,14.62082,26400,E
2013-07-01,09:30:30.642,MSFT,67.1249,26000,B
2013-07-01,09:30:30.854,IBM,12.62442,98700,A
2013-07-01,09:30:45.287,AAPL,18.46262,13300,E
2013-07-01,09:30:45.760,MSFT,33.6234,23200,E
2013-07-01,09:30:45.899,BAC,89.96024,63600,C
2013-07-01,09:30:45.944,IBM,3.42198,2200,Z
2013-07-01,09:31:00.035,UPS,41.72513,41400,B
2013-07-01,09:31:00.301,UPS,19.22468,86600,E
2013-07-01,09:31:00.329,BAC,70.78997,68100,Z
2013-07-01,09:31:00.446,AAPL,48.06836,6800,C
2013-07-01,09:31:00.447,MSFT,36.40804,34800, 
2013-07-01,09:31:00.480,BAC,9.269127,73000,E
2013-07-01,09:31:00.618,IBM,17.98408,46100, 
2013-07-01,09:31:15.013,MSFT,41.08804,64200,A
2013-07-01,09:31:15.457,BAC,33.25115,62200,C
2013-07-01,09:31:15.666,MSFT,36.03544,3400,A
2013-07-01,09:31:30.302,MSFT,93.18693,21200,Z
2013-07-01,09:31:30.514,BAC,60.99342,15700,A
2013-07-01,09:31:30.529,UPS,14.71192,45200,E
2013-07-01,09:31:30.962,MSFT,67.57546,2500,B
2013-07-01,09:31:45.112,AAPL,61.10892,80100,Z
2013-07-01,09:31:45.416,AAPL,41.98156,100,B
2013-07-01,09:31:45.727,AAPL,67.11732,35600,A
2013-07-01,09:31:45.749,IBM,69.53115,67200,N
2013-07-01,09:32:00.384,MSFT,21.7719,1700,Z
2013-07-01,09:32:15.011,UPS,90.36674,94000,D
2013-07-01,09:32:15.075,MSFT,66.23288,65400,Z
2013-07-01,09:32:15.407,MSFT,17.76149,79500,B
2013-07-01,09:32:15.526,IBM,39.35406,96900,N
2013-07-01,09:32:15.579,MSFT,52.74115,22100,D
2013-07-01,09:32:15.819,UPS,3.121171,20500, 
2013-07-01,09:32:30.205,IBM,42.0162,41100,C
2013-07-01,09:32:30.299,IBM,87.39656,1300,N
2013-07-01,09:32:30.773,AAPL,37.32508,7100,C
2013-07-01,09:32:45.074,MSFT,39.72646,3800,B
2013-07-01,09:32:45.514,MSFT,65.67262,81200,C
2013-07-01,09:32:45.935,IBM,6.309148,80200, 
2013-07-01,09:33:00.075,IBM,23.54031,25100,D
2013-07-01,09:33:00.228,UPS,27.35325,9800,Z
2013-07-01,09:33:00.396,AAPL,88.51717,88300,C
2013-07-01,09:33:00.725,BAC,36.94803,92900,N
2013-07-01,09:33:00.849,IBM,99.547,80800, 
2013-07-01,09:33:00.868,BAC,23.97051,67400,Z
2013-07-01,09:33:15.119,AAPL,25.42303,34700,E
2013-07-01,09:33:15.505,AAPL,19.77485,39700,B
2013-07-01,09:33:15.727,AAPL,11.81164,87800,N
2013-07-01,09:33:30.176,AAPL,26.98915,38500,A
2013-07-01,09:33:30.241,UPS,46.92818,99000, 
2013-07-01,09:33:30.442,BAC,56.93177,27000,B
2013-07-01,09:33:45.051,AAPL,25.61015,98000, 
2013-07-01,09:33:45.410,MSFT,85.47853,69400,E
2013-07-01,09:33:45.583,AAPL,78.01546,20600,A
2013-07-01,09:33:45.843,UPS,64.25103,32500,N
2013-07-01,09:34:00.134,AAPL,10.39013,14800, 
2013-07-01,09:34:00.162,AAPL,49.74742,50100,N
